"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"768250",453.986611190131,-1.6330143889197,0.157952255658835,-10.3386582363654,4.71086976106221e-25,9.4163862610323e-23
"410771",16396.8355198883,-2.20055950412667,0.213375569360349,-10.3130808776443,6.1497634578389e-25,1.20193710248207e-22
"113218551",67424.3086214182,1.81611124796332,0.177126193714893,10.2532054117675,1.14482747902146e-24,2.18886036478126e-22
"411050",40740.1469356418,1.9986494973041,0.19567788376708,10.2139774757741,1.71679630749544e-24,3.2126007498771e-22
"411463",1526.70834184015,-1.56250301076139,0.153091764760103,-10.2063165396901,1.85784237661623e-24,3.40410910465411e-22
"414015",687.409310289616,3.0093407358224,0.295991768810906,10.1669743990243,2.78422981758475e-24,4.99740841748121e-22
"409393",1647.77472185991,-2.01245061684955,0.198342584432612,-10.1463365651227,3.44036303248991e-24,6.05159857414975e-22
"408924",5188.27813805793,-0.963564621953534,0.0950923623318229,-10.1329339005292,3.94627617236907e-24,6.80539194823253e-22
"102656907",461.928420333314,1.38558146706282,0.13676661812209,10.1309916563552,4.02546031669398e-24,6.80844682410068e-22
"726597",5458.51638914389,-3.35758695981633,0.331659741048354,-10.1235891616005,4.34195116101852e-24,7.2051812190864e-22
"102655859",18674.6063495915,1.28084611884391,0.1266901781682,10.1100664421152,4.98504572686347e-24,8.07090667443844e-22
"724160",4388.50611204298,-2.85263534342907,0.282191800048887,-10.1088527127113,5.0471843899274e-24,8.07090667443844e-22
"551804",691.179122577869,-4.13506783793018,0.419173738053197,-9.86480655285089,5.91483516234617e-23,9.2894598665776e-21
"724731",21880.6351726572,-1.18808491165972,0.121793052975968,-9.75494810770658,1.75690506174357e-22,2.71087368737451e-20
"100577783",5264.7623347284,0.783014488506416,0.0810574704044975,9.65999166516021,4.45900240252943e-22,6.7615389879735e-20
"100578129",539.51321705055,2.32919013309793,0.242125894380423,9.61974818537318,6.59925198726785e-22,9.83735953017301e-20
"551831",7461.25746867701,-1.19026341052941,0.125261878584841,-9.50219990292766,2.05502222268581e-21,3.01232007475362e-19
"551879",573.964619551346,-1.63750118464047,0.172975420561271,-9.46666976919092,2.88907693205675e-21,4.1654805930228e-19
"550881",1478.09721553317,1.45730366223964,0.155463911179284,9.37390324986131,6.98986653357353e-21,9.91546389722246e-19
"100577300",219.908998527157,-3.6763781891725,0.392848893387594,-9.35825008305497,8.10681761044905e-21,1.13173747434761e-18
"726802",1109.04551709584,-1.74592828141511,0.187612217636527,-9.3060478864847,1.32677493086085e-20,1.82327898701893e-18
"727189",3330.17711074483,-1.28199112694149,0.138056621145969,-9.28598075412858,1.60224676488228e-20,2.16796312263687e-18
"552785",26970.1757118499,0.903241453298652,0.0978134336025897,9.2343292739162,2.59909243292552e-20,3.46348756781515e-18
"551515",13791.7386258034,-1.54687398205017,0.168074813671328,-9.20348473552442,3.46525623092309e-20,4.54879530611471e-18
"412065",2444.19594657395,-2.46965069165378,0.268866944686279,-9.18540095933113,4.09996995420516e-20,5.302828786358e-18
"725078",993.424595973709,-1.6652900293917,0.184356506451746,-9.03298756004352,1.67047671291987e-19,2.12925256378699e-17
"102655220",2345.57797245339,-1.20889039738609,0.134013907878093,-9.02063387693891,1.87004081828424e-19,2.34957271382998e-17
"552590",1035.71919016843,-1.41158427721093,0.156521411733101,-9.01847396839191,1.90727512027287e-19,2.36260347645068e-17
"726598",15842.9305314121,-3.09288231023272,0.344798274693577,-8.97012119037247,2.96188366975725e-19,3.61802317715487e-17
"102654158",624.28535991986,-2.2776359562528,0.255626838373914,-8.91000323260745,5.10310758327401e-19,6.1481960540952e-17
"410235",882.483323792739,-3.34730361191507,0.376510448163643,-8.89033392895443,6.09255311529604e-19,7.2410817093282e-17
"100577386",2192.70739311051,-2.22883650822588,0.251116014312439,-8.87572429153304,6.94797647243071e-19,8.14766041000375e-17
"102654366",3135.23674563112,-1.24547349721821,0.141350321207091,-8.8112533921552,1.23754275694323e-18,1.43213007201522e-16
"409893",47078.2888843932,-1.45051827134254,0.164881747322917,-8.79732471843431,1.40116419463138e-18,1.60042066127051e-16
"102654393",82187.891523241,-1.87368584913094,0.213073581656269,-8.79360939336711,1.44830457891507e-18,1.62934775493694e-16
"551231",87.509124618539,-5.26814827478792,0.599168360663529,-8.79243401462968,1.46354147401954e-18,1.62934775493694e-16
"551259",8534.90971816575,-0.735858820327712,0.0841523892591615,-8.74436040147963,2.24282486737404e-18,2.46570558856933e-16
"408897",432.212728926555,-2.13628915200517,0.244380456432234,-8.74165300774595,2.29724132802334e-18,2.49435030616856e-16
"727230",667.509089795344,-2.77423841878148,0.31792770556747,-8.72600396316431,2.63829443263475e-18,2.82973165061252e-16
"725712",33.9968766928282,-29.7548338823187,3.41985192322058,-8.70062053865118,3.30074241315974e-18,3.49759391852288e-16
"410916",3.4288761157287,-29.7496268700435,3.42660628042144,-8.68195072192088,3.89037983497289e-18,4.07332031530793e-16
"725311",9.38888306232745,-30,3.4579254023126,-8.67572214829637,4.10934373527932e-18,4.25196213550372e-16
"102655836",30.2933686977477,-29.9881723578107,3.457806535588,-8.67259982569014,4.22364220859428e-18,4.31941084006822e-16
"411085",18.9002884790915,-30,3.46855551737737,-8.64913358016061,5.18918925612113e-18,5.19336221782751e-16
"413815",6337.74844584577,-1.29561452281638,0.14979974248352,-8.64897696976294,5.19631466934418e-18,5.19336221782751e-16
"413473",7157.46514349192,-1.09096372700572,0.126201894431597,-8.64459073232878,5.39984921618788e-18,5.33614312992948e-16
"409158",1271.03094875909,-3.22837709290841,0.373972995263603,-8.63264763444435,5.99478929082162e-18,5.85824131253068e-16
"727497",16.6275387191718,-29.5740882420273,3.46088647422656,-8.54523500330548,1.28274978512011e-17,1.23975652309136e-15
"409172",586.197592744036,-0.962580248016893,0.11314235756093,-8.50769127290385,1.77430878547287e-17,1.69620062698195e-15
"726350",5.91352277240425,-29.3272796038625,3.45763061929097,-8.48190070976305,2.21544592245066e-17,2.09514482666167e-15
"550645",2896.62900536347,-1.17484726319108,0.138751451563014,-8.4672790803743,2.51191737945662e-17,2.35024610131074e-15
